Lote,Plaga,Larvas,E. Plagas,X,Y,Z
A41a,Opsiphanes cassina,0,EP1A41a,-90.43987599,16.20359497,129.589813
A41a,Opsiphanes cassina,0,EP2A41a,-90.44073204,16.203097,129.991302
A41a,Opsiphanes cassina,0,EP3A41a,-90.44073698,16.20212596,127.246544
A41a,Opsiphanes cassina,0,EP4A41a,-90.44166301,16.20359204,139.96904
A41a,Opsiphanes cassina,0,EP5A41a,-90.44339203,16.20357896,135.093811
A41a,Opsiphanes cassina,0,EP6A41a,-90.44251998,16.20309901,134.345078
A41a,Opsiphanes cassina,0,EP7A41a,-90.44164399,16.20262804,128.98114
A41a,Opsiphanes cassina,0,EP8A41a,-90.44428303,16.20304696,130.7276
A41a,Opsiphanes cassina,0,EP9A41a,-90.44340502,16.20256701,131.481781
A41a,Opsiphanes cassina,0,EP10A41a,-90.44251897,16.20211498,131.009689
A41a,Opsiphanes cassina,0,EP11A41a,-90.44163099,16.20164199,130.986053
A41a,Opsiphanes cassina,0,EP12A41a,-90.44513203,16.20258604,133.103989
A41a,Opsiphanes cassina,0,EP13A41a,-90.44425403,16.20211104,134.618225
A41a,Opsiphanes cassina,0,EP14A41a,-90.44336697,16.20164903,133.879333
A41a,Opsiphanes cassina,0,EP15A41a,-90.44598397,16.202076,129.249863
A41a,Opsiphanes cassina,0,EP16A41a,-90.44687698,16.20254799,126.297783
A41a,Opsiphanes cassina,0,EP17A41a,-90.446004,16.20304897,125.817375
A41a,Opsiphanes cassina,0,EP18A41a,-90.44687999,16.20352901,123.662933
A41a,Opsiphanes cassina,0,EP19A41a,-90.44513304,16.20353303,128.023315
A41a,Opsiphanes cassina,0,EP20A41a,-90.44602202,16.20403301,125.326263
A41a,Opsiphanes cassina,0,EP21A41a,-90.45053702,16.20240902,127.369743
A41a,Opsiphanes cassina,0,EP22A41a,-90.45051699,16.20340797,125.687683
A41a,Opsiphanes cassina,0,EP23A41a,-90.45049896,16.20436502,128.414963
A41a,Opsiphanes cassina,0,EP24A41a,-90.45139398,16.20386504,141.167175
A41a,Opsiphanes cassina,0,EP25A41a,-90.45228004,16.20436602,138.880692
A41a,Opsiphanes cassina,0,EP26A41a,-90.45140899,16.20286097,135.916061
A41a,Opsiphanes cassina,0,EP27A41a,-90.452245,16.20342599,136.142334
A41a,Opsiphanes cassina,0,EP28A41a,-90.45227501,16.20245101,133.081757
A41a,Opsiphanes cassina,0,EP29A41a,-90.45405599,16.20343203,134.434631
A41a,Opsiphanes cassina,0,EP30A41a,-90.45318704,16.20292601,136.127029
A41a,Opsiphanes cassina,0,EP31A41a,-90.453152,16.20395103,133.742996
A41a,Opsiphanes cassina,0,EP32A41a,-90.45402003,16.20439201,132.752258
A42a,Opsiphanes cassina,0,EP1A42a,-90.44047999,16.20001196,140.74028
A42a,Opsiphanes cassina,0,EP2A42a,-90.44046499,16.20093598,140.299408
A42a,Opsiphanes cassina,0,EP3A42a,-90.44126303,16.20054597,138.09346
A42a,Opsiphanes cassina,0,EP4A42a,-90.44208798,16.20092198,137.968231
A42a,Opsiphanes cassina,0,EP5A42a,-90.44293002,16.20045704,136.136414
A42a,Opsiphanes cassina,0,EP6A42a,-90.44372798,16.20093296,135.968216
A42a,Opsiphanes cassina,0,EP7A42a,-90.44457698,16.20045997,133.949173
A42a,Opsiphanes cassina,0,EP8A42a,-90.44540302,16.20091704,132.162888
A42a,Opsiphanes cassina,0,EP9A42a,-90.44624004,16.20045897,130.427719
A42a,Opsiphanes cassina,0,EP10A42a,-90.44623501,16.201385,131.083313
A42a,Opsiphanes cassina,0,EP11A42a,-90.44704202,16.20090798,131.342529
A42a,Opsiphanes cassina,0,EP12A42a,-90.44786504,16.20044103,130.818253
A42a,Opsiphanes cassina,0,EP13A42a,-90.44788599,16.20146002,130.506256
A42a,Opsiphanes cassina,0,EP14A42a,-90.44870599,16.20091402,129.918854
A42a,Opsiphanes cassina,0,EP15A42a,-90.44954896,16.20040901,127.304214
A42a,Opsiphanes cassina,0,EP16A42a,-90.44953899,16.20134703,128.722595
A42a,Opsiphanes cassina,0,EP17A42a,-90.45034901,16.20098602,129.107513
A42a,Opsiphanes cassina,0,EP18A42a,-90.45120698,16.20044002,126.811424
A42a,Opsiphanes cassina,0,EP19A42a,-90.45118502,16.20137603,126.293457
A42a,Opsiphanes cassina,0,EP20A42a,-90.452676,16.201285,137.715698
A42a,Opsiphanes cassina,0,EP21A42a,-90.45352299,16.20082299,134.853043
A42a,Opsiphanes cassina,0,EP22A42a,-90.45351704,16.20174902,136.451401
A42a,Opsiphanes cassina,0,EP23A42a,-90.45415297,16.201385,134.997772
A42a,Opsiphanes cassina,0,EP24A42a,-90.45412397,16.20047196,134.198563
A42a,Opsiphanes cassina,0,EP25A42a,-90.45352399,16.19996997,132.581909
A42a,Opsiphanes cassina,0,EP26A42a,-90.45115996,16.19959697,131.100067
A42a,Opsiphanes cassina,0,EP27A42a,-90.45036703,16.19997298,133.013367
A42a,Opsiphanes cassina,0,EP28A42a,-90.44952298,16.19953704,132.622147
A42a,Opsiphanes cassina,0,EP29A42a,-90.44868303,16.199991,130.012161
A42a,Opsiphanes cassina,0,EP30A42a,-90.44785196,16.19951097,126.40831
A42a,Opsiphanes cassina,0,EP31A42a,-90.44704998,16.199975,127.220963
A42a,Opsiphanes cassina,0,EP32A42a,-90.44621103,16.19959898,128.211884
A42a,Opsiphanes cassina,0,EP33A42a,-90.44538701,16.19999201,127.965294
A42a,Opsiphanes cassina,0,EP34A42a,-90.44537896,16.19904997,128.053024
A42a,Opsiphanes cassina,0,EP35A42a,-90.44455997,16.19953704,128.067734
A42a,Opsiphanes cassina,0,EP36A42a,-90.44375396,16.20008002,127.057625
A42a,Opsiphanes cassina,0,EP37A42a,-90.44374097,16.19907503,126.410286
A42a,Opsiphanes cassina,0,EP38A42a,-90.44292801,16.19953897,126.797775
A42a,Opsiphanes cassina,0,EP40A42a,-90.44209803,16.19907,125.304199
A42a,Opsiphanes cassina,0,EP41A42a,-90.44125398,16.19961801,128.15332
A42a,Opsiphanes cassina,0,EP42A42a,-90.44043398,16.199084,127.102646
A42a,Opsiphanes cassina,1,EP39A42a,-90.44208496,16.20005798,126.014267
B21a,Opsiphanes cassina,0,EP1B21a,-90.44127803,16.259241,135.287704
B21a,Opsiphanes cassina,0,EP2B21a,-90.440021,16.257414,143.901581
B21a,Opsiphanes cassina,0,EP3B21a,-90.43911399,16.256983,141.0914
B22a,Opsiphanes cassina,0,EP1B22a,-90.44248503,16.25452601,128.860352
B22a,Opsiphanes cassina,0,EP2B22a,-90.44167399,16.25406199,129.106445
B22a,Opsiphanes cassina,0,EP3B22a,-90.44167098,16.25501803,129.264435
B22a,Opsiphanes cassina,0,EP4B22a,-90.440841,16.25445401,129.897964
B22a,Opsiphanes cassina,0,EP5B22a,-90.44000398,16.25409996,128.890076
B22a,Opsiphanes cassina,0,EP6B22a,-90.44001899,16.25498903,128.625061
B22a,Opsiphanes cassina,0,EP7B22a,-90.43918096,16.25453699,128.625473
B22a,Opsiphanes cassina,0,EP8B22a,-90.43917904,16.25537996,129.297653
B22a,Opsiphanes cassina,0,EP9B22a,-90.43835888,16.2540785,0
B22a,Opsiphanes cassina,0,EP10B22a,-90.43836096,16.25508903,130.500381
B22a,Opsiphanes cassina,0,EP11B22a,-90.43755798,16.25452903,130.359344
B22a,Opsiphanes cassina,0,EP12B22a,-90.43671601,16.25409703,128.830719
B22a,Opsiphanes cassina,0,EP13B22a,-90.43670202,16.25503102,133.466843
B22a,Opsiphanes cassina,0,EP14B22a,-90.43590297,16.25456801,130.09494
B22a,Opsiphanes cassina,0,EP15B22a,-90.435174,16.25409502,129.72049
B22a,Opsiphanes cassina,0,EP16B22a,-90.44083203,16.25638504,129.843369
B22a,Opsiphanes cassina,0,EP17B22a,-90.43999099,16.255919,129.681854
